Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,
Qatar,QAT,GDP per capita (current US$),63039.0165548075,57163.0609918357,61264.3964777979,68793.7844372614,,
Romania,ROU,GDP per capita (current US$),8977.43738227167,9567.03174321711,10807.6844848917,12306.1097482049,,
Russian Federation,RUS,GDP per capita (current US$),9313.78754211991,8745.37511683101,10750.5871197198,11288.8784475021,,
Rwanda,RWA,GDP per capita (current US$),728.081879388981,726.347974491846,762.914374550788,772.944459929187,,
South Asia,SAS,GDP per capita (current US$),1541.80368396863,1648.62449052113,1866.9376986432,1902.8026286069,,
Saudi Arabia,SAU,GDP per capita (current US$),20627.9327820675,19879.2975304177,20803.7425657324,23338.9634580718,,
Sudan,SDN,GDP per capita (current US$),2486.74565866274,2398.10187999332,3015.02442975186,977.273635724417,,
Senegal,SEN,GDP per capita (current US$),1218.76424640812,1269.04040702421,1367.21894802284,1521.95355421391,,
Singapore,SGP,GDP per capita (current US$),55646.6187469505,56724.1703858863,60297.7937806208,64581.9440183954,,
Solomon Islands,SLB,GDP per capita (current US$),1914.46792975705,1986.41622920675,2059.04542688849,2137.69069539357,,
Sierra Leone,SLE,GDP per capita (current US$),588.228452702849,501.415712857832,499.38070781976,533.991184258936,,
El Salvador,SLV,GDP per capita (current US$),3705.54000206162,3800.10330164063,3902.24231785179,4058.25243928118,,
San Marino,SMR,GDP per capita (current US$),45774.5878900486,46692.3510916145,48494.5514112427,,,
Somalia,SOM,GDP per capita (current US$),293.455235696952,295.967851645127,309.055354770056,314.544165670763,,
Serbia,SRB,GDP per capita (current US$),5585.11793778445,5756.38119351044,6284.192671588,7246.19198607054,,
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1673.29118371509,1524.27359072467,1612.40221973559,1587.91418086887,,
South Sudan,SSD,GDP per capita (current US$),1119.65133182314,,,,,
Sub-Saharan Africa,SSF,GDP per capita (current US$),1674.51809487941,1525.52971232683,1613.68734486729,1589.24777521489,,
Small states,SST,GDP per capita (current US$),11715.1376593434,11333.5899227109,12153.2570766286,13197.5488034859,,
Sao Tome and Principe,STP,GDP per capita (current US$),1595.86142275725,1710.13394767919,1811.00963265499,2001.14090226164,,
Suriname,SUR,GDP per capita (current US$),8561.97417855142,5604.72256934099,5379.11941495353,6234.04492230646,,
